TEMP      W         C         RTL          Iavg          Pavg
25       120n       0.01f     1.4701u      -1.3397p     -940.8277f
25       120n       1.23f     15.8785u     -15.6825p    -10.9791p
25       120n       1.52f     19.3630u     -15.8954p    -11.1281p
25       120n       1.87f     23.5387u     -16.0792p    -11.2579p
25       120n       2.30f     28.5516u     -16.0980p    -11.2831p
25       120n       2.83f     34.6837u     -16.2639p    -11.4047p
25       120n       3.48f     42.3234u     -16.4033p    -11.5002p
25       120n       4.29f     51.9569u     -16.5032p    -11.5660p
25       120n       5.28f     63.5264u     -16.6062p    -11.6375p
25       120n       6.50f     77.8820u     -16.6803p    -11.6870p
25       120n       8.00f     95.5973u     -16.7371p    -11.7246p
25       180n       0.01f     1.3994u      -1.4064p     -987.8223f
25       180n       1.23f     10.6462u     -23.4221p    -16.3963p
25       180n       1.52f     12.8562u     -23.9324p    -16.7559p
25       180n       1.87f     15.5496u     -24.3353p    -17.0377p
25       180n       2.30f     18.8829u     -24.6558p    -17.2615p
25       180n       2.83f     22.9313u     -24.6464p    -17.2753p
25       180n       3.48f     27.8628u     -24.9639p    -17.4966p
25       180n       4.29f     33.9121u     -25.2229p    -17.6865p
25       180n       5.28f     41.3681u     -25.4537p    -17.8464p
25       180n       6.50f     50.7525u     -25.5995p    -17.9411p
25       180n       8.00f     62.0051u     -25.7691p    -18.0602p
25       240n       0.01f     1.3657u      -1.4406p     -1.0119p 
25       240n       1.23f     8.2391u      -29.5457p    -20.7303p
25       240n       1.52f     9.8275u      -31.3831p    -21.9670p
25       240n       1.87f     11.7576u     -32.1871p    -22.5366p
25       240n       2.30f     14.2014u     -32.7693p    -22.9433p
25       240n       2.83f     17.2249u     -33.2474p    -23.2770p
25       240n       3.48f     20.9320u     -33.6466p    -23.5567p
25       240n       4.29f     25.4656u     -33.6654p    -23.5954p
25       240n       5.28f     30.9966u     -34.0667p    -23.8757p
25       240n       6.50f     37.7044u     -34.3777p    -24.1047p
25       240n       8.00f     46.1578u     -34.6175p    -24.2649p
25       300n       0.01f     1.3459u      -1.4614p     -1.0266p 
25       300n       1.23f     6.7976u      -35.7139p    -25.0665p
25       300n       1.52f     8.0877u      -37.1917p    -26.0953p
25       300n       1.87f     9.6086u      -39.5043p    -27.6501p
25       300n       2.30f     11.4856u     -40.5378p    -28.3825p
25       300n       2.83f     13.8628u     -41.3001p    -28.9167p
25       300n       3.48f     16.7978u     -41.9154p    -29.3461p
25       300n       4.29f     20.4620u     -42.4286p    -29.7052p
25       300n       5.28f     24.8603u     -42.4414p    -29.7463p
25       300n       6.50f     30.2642u     -42.9553p    -30.1049p
25       300n       8.00f     36.8027u     -43.3519p    -30.3969p
85       120n       0.01f     1.4503u      -1.3582p     -953.8206f
85       120n       1.23f     15.4799u     -16.0505p    -11.2397p
85       120n       1.52f     18.8618u     -16.2738p    -11.3964p
85       120n       1.87f     22.9664u     -16.4499p    -11.5190p
85       120n       2.30f     27.9728u     -16.6034p    -11.6273p
85       120n       2.83f     34.0282u     -16.6010p    -11.6401p
85       120n       3.48f     41.4445u     -16.7614p    -11.7518p
85       120n       4.29f     50.7693u     -16.8789p    -11.8317p
85       120n       5.28f     62.1558u     -16.9756p    -11.8973p
85       120n       6.50f     76.2357u     -17.0482p    -11.9452p
85       120n       8.00f     93.5017u     -17.1122p    -11.9886p
85       180n       0.01f     1.3809u      -1.4258p     -1.0014p 
85       180n       1.23f     10.4709u     -23.8650p    -16.6992p
85       180n       1.52f     12.6097u     -24.4231p    -17.0958p
85       180n       1.87f     15.1818u     -24.8900p    -17.4287p
85       180n       2.30f     18.3874u     -25.2476p    -17.6817p
85       180n       2.83f     22.3977u     -25.5183p    -17.8697p
85       180n       3.48f     27.2844u     -25.7525p    -18.0344p
85       180n       4.29f     33.2582u     -25.7498p    -18.0549p
85       180n       5.28f     40.5569u     -25.9952p    -18.2251p
85       180n       6.50f     49.5665u     -26.1886p    -18.3584p
85       180n       8.00f     60.7378u     -26.3280p    -18.4515p
85       240n       0.01f     1.3495u      -1.4596p     -1.0252p 
85       240n       1.23f     8.0720u      -30.1750p    -21.1787p
85       240n       1.52f     9.6573u      -32.0135p    -22.3970p
85       240n       1.87f     11.5647u     -32.8013p    -22.9566p
85       240n       2.30f     13.9030u     -33.4739p    -23.4350p
85       240n       2.83f     16.7585u     -34.0600p    -23.8559p
85       240n       3.48f     20.3986u     -34.4419p    -24.1197p
85       240n       4.29f     24.9048u     -34.7768p    -24.3541p
85       240n       5.28f     30.3106u     -34.7572p    -24.3728p
85       240n       6.50f     36.9880u     -35.0959p    -24.6056p
85       240n       8.00f     45.0821u     -35.4149p    -24.8299p
85       300n       0.01f     1.3310u      -1.4802p     -1.0396p 
85       300n       1.23f     6.6514u      -36.4628p    -25.6031p
85       300n       1.52f     7.9218u      -37.9887p    -26.6636p
85       300n       1.87f     9.4405u      -40.3013p    -28.1938p
85       300n       2.30f     11.2982u     -41.3084p    -28.9090p
85       300n       2.83f     13.5827u     -42.1716p    -29.5229p
85       300n       3.48f     16.3562u     -42.9244p    -30.0634p
85       300n       4.29f     19.9360u     -43.4363p    -30.4191p
85       300n       5.28f     24.3047u     -43.8684p    -30.7200p
85       300n       6.50f     29.6529u     -43.8597p    -30.7391p
85       300n       8.00f     36.1002u     -44.2581p    -31.0293p
